NODE_ID,district,continent,population_density,freeway
0,0,0,0.06769036505896413,1
1,1,0,0.5737446165640714,0
2,2,0,0.0424361315925951,0
3,3,0,0.30742519560756726,1
4,4,0,0.0005186137229700782,0
5,5,1,0.0,1
6,6,0,0.6750095830796635,0
7,4,0,0.0005186137229700782,0
8,7,1,0.02856885160882996,0
9,8,1,0.23425556382331056,0
10,5,1,0.0,1
11,8,1,0.23425556382331056,1
12,7,1,0.02856885160882996,0
13,9,1,0.19524679248686555,0
14,10,0,0.43908543597375366,0
15,3,0,0.30742519560756726,0
16,11,0,0.03438634467518997,0
17,8,1,0.23425556382331056,0
18,12,0,0.0030214886468691517,1
19,13,1,0.07752147737265778,0
20,13,1,0.07752147737265778,0
21,12,0,0.0030214886468691517,1
22,12,0,0.0030214886468691517,1
23,14,1,0.3443820604748698,0
24,12,0,0.0030214886468691517,1
25,15,1,0.10058851383345735,1
26,7,1,0.02856885160882996,0
27,3,0,0.30742519560756726,0
28,12,0,0.0030214886468691517,1
29,16,1,0.46905228979232905,0
30,11,0,0.03438634467518997,0
31,10,0,0.43908543597375366,0
32,12,0,0.0030214886468691517,0
33,17,0,0.028005141040384224,1
34,18,0,0.6438025660105076,0
35,15,1,0.10058851383345735,0
36,11,0,0.03438634467518997,0
37,19,0,0.28931881214909017,0
38,20,1,0.017046607589799093,1
39,21,0,0.20413087104557037,0
40,8,1,0.23425556382331056,1
41,20,1,0.017046607589799093,1
42,7,1,0.02856885160882996,0
43,20,1,0.017046607589799093,0
44,17,0,0.028005141040384224,1
45,16,1,0.46905228979232905,0
46,22,1,0.3224424451509617,0
47,19,0,0.28931881214909017,1
48,12,0,0.0030214886468691517,1
49,7,1,0.02856885160882996,0
50,13,1,0.07752147737265778,0
51,12,0,0.0030214886468691517,1
52,23,1,0.035355926852916636,1
53,15,1,0.10058851383345735,1
54,13,1,0.07752147737265778,0
55,23,1,0.035355926852916636,1
56,12,0,0.0030214886468691517,0
57,17,0,0.028005141040384224,1
58,13,1,0.07752147737265778,0
59,4,0,0.0005186137229700782,0
60,9,1,0.19524679248686555,0
61,4,0,0.0005186137229700782,1
62,24,0,0.8381699700105978,0
63,23,1,0.035355926852916636,1
64,23,1,0.035355926852916636,0
65,19,0,0.28931881214909017,0
66,25,0,0.6777604906536788,1
67,4,0,0.0005186137229700782,0
68,3,0,0.30742519560756726,1
69,4,0,0.0005186137229700782,1
70,15,1,0.10058851383345735,0
71,14,1,0.3443820604748698,0
72,12,0,0.0030214886468691517,1
73,26,0,1.0,0
74,12,0,0.0030214886468691517,1
75,23,1,0.035355926852916636,1
76,17,0,0.028005141040384224,1
